

=== Monitoring Session 2025-05-19 09:13:35.481328 ===
Window: DR           | Result:  OP     | Level: 0%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  OP_S   | Level: 25%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: DR           | Result:  FOP    | Level: 100%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PS           | Result:  CL_S   | Level: 75%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PS           | Result:  CL_S   | Level: 75%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PS           | Result:  CL_S   | Level: 75%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PS           | Result:  CL_S   | Level: 75%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DR           | Result:  FOP    | Level: 100%
Window: PS           | Result:  CL_S   | Level: 75%
Window: DRS          | Result:  FOP_S  | Level: 10%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: PRS          | Result:  OPG_S  | Level: 0%
Window: DR          | Result:  OPG_S  | Level: 90%
Window: PS          | Result:  OPG_S  | Level: 90%
Window: DR          | Result:  OPG_S  | Level: 0%
Window: PS          | Result:  OPG_S  | Level: 0%
Window: DR          | Result:  OPG_S  | Level: 90%
Window: PS          | Result:  OPG_S  | Level: 90%
Window: DR          | Result:  OPG_S  | Level: 0%
Window: PS          | Result:  OPG_S  | Level: 0%
Window: DR          | Result:  OPG_S  | Level: 90%
Window: PS          | Result:  OPG_S  | Level: 90%
Window: DR          | Result:  OPG_S  | Level: 0%
Window: PS          | Result:  OPG_S  | Level: 0%
Window: DR          | Result:  OPG_S  | Level: 80%
Window: PS          | Result:  OPG_S  | Level: 40%
Window: PRS          | Result:  OPG_S  | Level: 30%
Window: DRS          | Result:  OPG_S  | Level: 100%
Window: DR          | Result:  OPG_S  | Level: 30%
Window: PS          | Result:  OPG_S  | Level: 0%
Window: PRS          | Result:  OPG_S  | Level: 70%
Window: DRS          | Result:  OPG_S  | Level: 0%
Window: DR          | Result:  OPG_S  | Level: 70%
Window: PS          | Result:  OPG_S  | Level: 80%
Window: DR          | Result:  OPG_S  | Level: 0%
Window: PS          | Result:  OPG_S  | Level: 0%
Window: DR          | Result:  OPG_S  | Level: 70%
Window: PS          | Result:  OPG_S  | Level: 80%
Window: DR          | Result:  OPG_S  | Level: 70%
Window: PS          | Result:  OPG_S  | Level: 80%
Window: DR          | Result:  OPG_S  | Level: 0%
Window: PS          | Result:  OPG_S  | Level: 0%
Window: DR          | Result:  OPG_S  | Level: 100%
Window: PS          | Result:  OPG_S  | Level: 100%
Window: DR          | Result:  OPG_S  | Level: 100%
Window: PS          | Result:  OPG_S  | Level: 100%
Window: DR          | Result:  OPG_S  | Level: 0%
Window: PS          | Result:  OPG_S  | Level: 0%
Window: DRS          | Result:  OPG_S  | Level: 100%
Window: PRS          | Result:  OPG_S  | Level: 100%
Window: DRS          | Result:  OPG_S  | Level: 0%
Window: PRS          | Result:  OPG_S  | Level: 0%
Window: DR          | Result:  OPG_S  | Level: 60%
Window: DR          | Result:  OPG_S  | Level: 20%
Window: PS          | Result:  OPG_S  | Level: 40%
Window: DRS          | Result:  OPG_S  | Level: 60%
Window: PRS          | Result:  OPG_S  | Level: 80%
Window: PRS          | Result:  OPG_S  | Level: 30%
Window: PS          | Result:  OPG_S  | Level: 60%
Window: DRS          | Result:  OPG_S  | Level: 60%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: PRS          | Result:  OPG_S  | Level: 100%
Window: DR          | Result:  OPG_S  | Level: 80%
Window: PS          | Result:  OPG_S  | Level: 90%
Window: DRS          | Result:  OPG_S  | Level: 25%
Window: PRS          | Result:  OPG_S  | Level: 0%
Window: DRS          | Result:  OPG_S  | Level: 25%
Window: DRS          | Result:  OPG_S  | Level: 80%
Window: DRS          | Result:  OPG_S  | Level: 90%
Window: DRS          | Result:  OPG_S  | Level: 100%
Window: DR          | Result:  OPG_S  | Level: 100%
Window: PS          | Result:  OPG_S  | Level: 100%
Window: PS          | Result:  OPG_S  | Level: 100%
Window: DR          | Result:  OPG_S  | Level: 60%
Window: PS          | Result:  OPG_S  | Level: 60%
Window: PRS          | Result:  OPG_S  | Level: 60%
Window: DRS          | Result:  OPG_S  | Level: 60%
Window: DR          | Result:  OPG_S  | Level: 0%
Window: PS          | Result:  OPG_S  | Level: 0%
Window: PRS          | Result:  OPG_S  | Level: 0%
Window: DRS          | Result:  OPG_S  | Level: 100%
Window: DR          | Result:  OPG_S  | Level: 90%
Window: PS          | Result:  OPG_S  | Level: 90%
Window: PRS          | Result:  OPG_S  | Level: 90%
Window: DRS          | Result:  OPG_S  | Level: 0%
Window: DRS          | Result:  OPG_S  | Level: 100%
Window: DRS          | Result:  OPG_S  | Level: 25%
Window: DRS          | Result:  OPG_S  | Level: 25%
Window: DR          | Result:  OPG  | Level: 100%
Window: PS          | Result:  CL  | Level: 100%
Window: DRS          | Result:  OP  | Level: 100%
Window: PRS          | Result:  OPG_S  | Level: 100%
