PS | CL | 100 | MANUEL | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 30 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | CL | 100 | MANUEL | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PS | OPG | 50 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | FOP_A | 15 | AUTO | FAHREN | safety_OFF
PS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_ON
PS | FAILED | 0 | AUTO | FAHREN | safety_ON
DRS | FAILED | 0 | AUTO | FAHREN | safety_ON
PRS | FAILED | 0 | AUTO | FAHREN | safety_ON
DR | FOP_AD | 0 | AUTO | FAHREN | safety_ON
PS | FAILED | 0 | AUTO | FAHREN | safety_ON
DRS | FAILED | 0 | AUTO | FAHREN | safety_ON
PRS | FAILED | 0 | AUTO | FAHREN | safety_ON
DR | FOP_AD | 0 | AUTO | FAHREN | safety_ON
PS | FAILED | 0 | AUTO | FAHREN | safety_ON
DRS | FAILED | 0 | AUTO | FAHREN | safety_ON
PRS | FAILED | 0 | AUTO | FAHREN | safety_ON
DR | FOP_AD | 0 | AUTO | FAHREN | safety_ON
PS | FAILED | 0 | AUTO | FAHREN | safety_ON
DRS | FAILED | 0 | AUTO | FAHREN | safety_ON
PRS | FAILED | 0 | AUTO | FAHREN | safety_ON
DR | FOP_AD | 0 | AUTO | FAHREN | safety_ON
PS | FAILED | 0 | AUTO | FAHREN | safety_ON
DRS | FAILED | 0 | AUTO | FAHREN | safety_ON
PRS | FAILED | 0 | AUTO | FAHREN | safety_ON
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DRS | CL_A | 100 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DRS | CL_A | 100 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DRS | CL_A | 100 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
DRS | CL_A | 100 | AUTO | FAHREN | safety_OFF
PS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DRS | CL_A | 100 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DRS | CL_A | 100 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DRS | CL_A | 100 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_ON
DRS | FAILED | 100 | AUTO | FAHREN | safety_ON
PS | FAILED | 0 | AUTO | FAHREN | safety_ON
PRS | FAILED | 0 | AUTO | FAHREN | safety_ON
DR | FOP_AD | 0 | AUTO | FAHREN | safety_ON
PS | FAILED | 0 | AUTO | FAHREN | safety_ON
DRS | FAILED | 100 | AUTO | FAHREN | safety_ON
PRS | FAILED | 0 | AUTO | FAHREN | safety_ON
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DRS | CL_A | 100 | AUTO | FAHREN | safety_OFF
PS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DRS | CL_A | 100 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
DRS | CL_A | 100 | AUTO | FAHREN | safety_OFF
PS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DRS | CL_A | 100 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DRS | CL_A | 100 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DRS | CL_A | 100 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DRS | CL_A | 100 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_OFF
PS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
PRS | FOP_A | 0 | AUTO | FAHREN | safety_OFF
DRS | CL_A | 100 | AUTO | FAHREN | safety_OFF
DR | FOP_AD | 0 | AUTO | FAHREN | safety_ON
DRS | FAILED | 100 | AUTO | FAHREN | safety_ON
PS | FAILED | 0 | AUTO | FAHREN | safety_ON
PRS | FAILED | 0 | AUTO | FAHREN | safety_ON
PS | FAILED | 0 | AUTO | FAHREN | safety_ON
DRS | FAILED | 100 | AUTO | FAHREN | safety_ON
PRS | FAILED | 0 | AUTO | FAHREN | safety_ON
PS | FAILED | 0 | AUTO | FAHREN | safety_ON
DRS | FAILED | 100 | AUTO | FAHREN | safety_ON
PRS | FAILED | 0 | AUTO | FAHREN | safety_ON
PS | FAILED | 0 | AUTO | FAHREN | safety_ON
DRS | FAILED | 100 | AUTO | FAHREN | safety_ON
PRS | FAILED | 0 | AUTO | FAHREN | safety_ON
PS | FAILED | 0 | AUTO | FAHREN | safety_ON
PRS | FAILED | 0 | AUTO | FAHREN | safety_ON
PS | FAILED | 0 | AUTO | FAHREN | safety_ON
PRS | FAILED | 0 | AUTO | FAHREN | safety_ON
PS | FAILED | 0 | AUTO | FAHREN | safety_ON
PRS | FAILED | 0 | AUTO | FAHREN | safety_ON
PS | FAILED | 0 | AUTO | FAHREN | safety_ON
PRS | FAILED | 0 | AUTO | FAHREN | safety_ON
PS | FAILED | 0 | AUTO | FAHREN | safety_ON
PRS | FAILED | 0 | AUTO | FAHREN | safety_ON
PS | FAILED | 0 | AUTO | FAHREN | safety_ON
PS | FAILED | 0 | AUTO | FAHREN | safety_ON
PS | FAILED | 0 | AUTO | FAHREN | safety_ON
PS | FAILED | 0 | AUTO | FAHREN | safety_ON
PS | FAILED | 0 | AUTO | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | OP_D | 80 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
PRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
DR | CL_D | 100 | MANUAL | FAHREN | safety_ON
PS | OP_D | 65 | MANUAL | FAHREN | safety_ON
DRS | CL_D | 100 | MANUAL | FAHREN | safety_ON
